Name,Tags,Products,Location,Address,Latitude,Longitude,Distance Miles,Best Season,Secondary Season,Availability,Availability Type,Source Confidence,Distance Basis,Notes,Website,Phone,Email
Sea Eagle Market,"supplier, seafood, working waterfront, shrimp, oysters, fish, crab","shrimp, fish, oysters, crab, local seafood","Beaufort, SC","2149 Boundary St, Beaufort, SC 29902",,,4.5,May-Oct,Nov-Apr,Wild + frozen,Market + dock,strong,Approx. from Port Royal center,Family-owned seafood market and fleet; wholesale and retail.,https://www.seaeaglemarket.com,843-521-5090,seaeaglemarket@live.com
Sea Eagle Market at Village Creek,"supplier, seafood, working waterfront, shrimp, oysters, fish, crab","shrimp, fish, oysters, crab, local seafood","St. Helena Island, SC","34 Hallmark Road, St. Helena Island, SC 29920",,,13.0,May-Oct,Nov-Apr,Wild + frozen,Working dock + market,strong,Approx. from Port Royal center,Working dock and island market stand with local shrimp and seafood coming in at Village Creek.,https://seaeaglemarket.com/contact/,843-838-3281,
Gay Fish Company,"supplier, seafood, working waterfront, shrimp, oysters, fish","shrimp, oysters, fish","St. Helena Island, SC","1948 Sea Island Parkway, St. Helena Island, SC 29920",,,12.0,May-Oct,Nov-Apr,Wild + frozen,Processor + market,strong,Approx. from Port Royal center,Long-running family-owned shrimp company and seafood market serving the Lowcountry since 1948.,https://www.gayfishcompanyinc.com/,843-838-2763,gayfishco@yahoo.com
CJ Seafood Express,"supplier, seafood, shrimp, oysters, crab","shrimp, crab, oysters, local seafood","Port Royal, SC","1421 Ribaut Road, Port Royal, SC 29935",,,1.0,May-Oct,Nov-Apr,Wild + frozen,Seafood market,medium,Approx. from Port Royal center,Port Royal seafood market focused on fresh local shrimp and other Beaufort seafood.,,843-986-0245,
Port Royal Seafood Inc.,"supplier, seafood, working waterfront, shrimp, crab","shrimp, crab, local seafood","St. Helena Island, SC","1008 Seaside Road, St. Helena Island, SC 29920",,,15.0,May-Oct,Nov-Apr,Wild + frozen,Processor,medium,Approx. from Port Royal center,St. Helena shrimp company and processor handling local shrimp and crab from the Lowcountry fleet.,,843-838-1158,portroyalseafood@gmail.com
Bradley Seafood Market,"supplier, seafood, shrimp, fish","shrimp, fish, local seafood","St. Helena Island, SC","1452 Sea Island Parkway, St. Helena Island, SC 29920",,,12.8,May-Oct,Nov-Apr,Wild + frozen,Seafood market,medium,Approx. from Port Royal center,Local St. Helena seafood market known especially for fresh shrimp and fish.,,843-838-2924,
Bluffton Oyster Company,"supplier, seafood, working waterfront, shrimp, oysters, fish, crab, mussels, clams, scallops","oysters, clams, mussels, shrimp, scallops, fish, soft shell crabs, blue crabs","Bluffton, SC","63 Wharf Street, Bluffton, SC 29910",,,14.0,Sep-May,Mar-May,Wild + frozen,Seafood market + oyster house,strong,Approx. from Port Royal center,Historic Bluffton oyster house and retail seafood market with hand-shucked oysters and Lowcountry shellfish supply.,https://blufftonoyster.com/,843-757-4010,
Clammer Dave's Sustainable Gourmet,"supplier, seafood, aquaculture, shellfish, clams, oysters","farm-raised clams, oysters","Mount Pleasant / Charleston County, SC","1522 Macoma Rd, Mount Pleasant, SC 29466",,,58.0,Year-round,Sep-May,Fresh to order,Aquaculture + shellfish harvester,strong,Certified SC Seafood member,Charleston County clam grower raising clams and harvesting oysters; purges shellfish above mud for clean product.,https://www.clammerdave.com,843-343-2970,dbelag@email.com
Livingston's Bulls Bay Seafood,"supplier, seafood, working waterfront, shellfish, clams, oysters, shrimp, crab, fish","clams, oysters, shrimp, soft shell crabs, fish, seafood","McClellanville, SC","P.O. Box 70, McClellanville, SC 29458",,,82.0,Year-round,May-Jan,Fresh + seasonal,Bulls Bay seafood supplier,strong,Certified SC Seafood member,McClellanville Bulls Bay seafood lead for clams oysters shrimp soft-shell crabs fish and broader local seafood.,,843-887-3519,livbullbay@aol.com
Island Fresh Seafood Inc.,"supplier, seafood, aquaculture, shellfish, clams, shrimp, oysters, fish","farm-raised clams, shrimp, oysters, fish","Yonges Island, SC","7540 Ethal Post Office Road, Yonges Island, SC 29449",,,43.0,Year-round,May-Oct,Fresh to order,Aquaculture + wild catch,strong,Certified SC Seafood member,Aquaculture and wild-caught seafood business offering farm-raised clams plus shrimp oysters and fish.,,843-889-6920,billcox12@frontier.com
