Name,Type,Tags,Products,Location,Address,Latitude,Longitude,Phone,Website,Email,Best Season,Secondary Season,Availability,Notes
Brickyard Point Farms,farm,Farm,"pecans, pears, persimmons, pomegranates, citrus, fruits","Beaufort, SC",,32.4308643,-80.6735035,,https://www.brickyardpoint.com,,Mar–Nov,Winter greens,"Fresh, seasonal",Fruit and pecan farm selling via local markets and GrowFood Carolina
Hobbit Hills Farm,farm,Farm,"vegetables, eggs, herbs, sustainable farm products","Beaufort, SC",,32.5,-80.8,,,,Mar–Nov,Winter greens,"Fresh, seasonal",Multi-generation family farm focused on sustainable living and farm-to-table
Pinckney's Produce,CSA_program,CSA Program,"CSA shares, seasonal produce","Beaufort, SC",,32.5,-80.8,,,,Mar–Nov,Winter greens,"Fresh, seasonal",CSA program operated by Rest Park Farm
Rest Park Farm,farm,Farm,"mixed vegetables, CSA, beef, pastured products","Beaufort, SC",,32.5,-80.8,,,,Sep–Nov,Mar–May,"Pasture, batch",Historic family farm operating CSA and growing produce
Lott Farms,Farm,Farm,quail eggs; chicken/duck eggs,"Beaufort area / Coosaw Island, SC",82 Coosaw River Dr,32.408799,-80.710353,,,,Oct–Feb,Mar–Apr,Small-batch or commercial,Local Lowcountry lead for quail eggs
Barefoot Farms,farm_u_pick,U-Pick,"strawberries, melons, vegetables, roadside market","St. Helena Island, SC",939 Sea Island Pkwy,32.412557,-80.476554,843-838-7421,,,Mar–Nov,Winter greens,"Fresh, seasonal",U-pick strawberries and seasonal produce
Dempsey Farms U-Pick,farm_u_pick,U-Pick,"berries, vegetables, u-pick produce","St. Helena Island, SC",1576 Sea Island Pkwy,32.412557,-80.476554,843-838-3656,,,Mar–Nov,Winter greens,"Fresh, seasonal",Family-owned U-pick farm with seasonal vegetables and berries
Fresh Eggs Beaufort SC,farm,Farm,"chicken eggs, duck eggs, live birds","St. Helena Island, SC",38 Yard Farm Rd.,32.412557,-80.476554,843-252-1232,,love4tr@yahoo.com,Oct–Feb,Mar–Apr,Small-batch or commercial,Eggs and live poultry sales
"Marshview Farm, LLC",farm,Farm,"blueberries, plums, peaches, muscadines, vegetables, tours","St. Helena Island, SC",1257 Seaside Road,32.412557,-80.476554,843-838-4829,,Marshview1012@embarqmail.com,Mar–Nov,Winter greens,"Fresh, seasonal",Sustainable farm with fruit and vegetable production; offers farm tours
Otis Daise Sr and Son Produce,farm,Farm,"okra, squash, tomatoes, sweet potatoes, vegetables","St. Helena Island, SC",104 Peaches Hill,32.412557,-80.476554,843-476-0002,,otisdaiseproducer@yahoo.com,Mar–Nov,Winter greens,"Fresh, seasonal",Small produce farm on St. Helena Island
Pasture Shed Farm,farm,Farm,"seasonal vegetables, roadside market","St. Helena Island, SC",1083 Sea Island Parkway,32.412557,-80.476554,843-812-8366,,chenry@isle.net,Mar–Nov,Winter greens,"Fresh, seasonal",Small family farm; Certified Roadside Market
Three Sisters Farm,farm,Farm,"organic vegetables, herbs, cut flowers, CSA","Bluffton, SC",30 Porcher Rd.,32.3,-80.9,843-757-2363,https://3sistersorganicfarm.com,mconnor@hargray.com,Mar–Nov,Winter greens,"Fresh, seasonal",USDA-certified organic farm with CSA and market sales
Bear Island Farm,farm,Farm,"vegetables, herbs, flowers, fruits, heirloom varieties","Bluffton, SC",,32.240246,-80.859421,,https://www.bearislandfarm.com,,Mar–Nov,Winter greens,"Fresh, seasonal",Naturally grown sustainable family farm; sells at Bluffton and Hilton Head markets
Eden's FARMacy,farm,Farm,"organic produce, honey, bee pollen, wheatgrass","Bluffton, SC",,32.240246,-80.859421,,,,Oct–Apr,Year-round,Stored grain,Naturally grown non-GMO produce and bee products
Helena Hills Farm,u_pick_flowers,"U-Pick, Flowers","flowers, events, workshops","Hardeeville, SC",577 Bellinger Hill Run Road,32.2843,-81.076998,646-656-1506,https://www.helenahillsfarm.com,,Year-round,,Service,U-pick flower farm with events and workshops
Whippoorwill Farms SC,Regenerative Farm,Farm,pasture-raised meats; produce,"Ridgeland, SC",870 Tillman Road,32.48,-80.981,,https://whippoorwillfarmssc.com,,Oct–Feb,Mar–Apr,"Pasture, batch",Regenerative farm with pork program and produce
Spirit in the Sky Homestead,CSA_program,CSA Program,"vegetables, fruits, herbs, pantry staples, CSA","Tillman, SC",,,,843-338-4390,https://www.spiritintheskytillman.com,spiritintheskytillman@gmail.com,Mar–Oct,,Fresh to order,Small-scale Lowcountry farm using organic methods with CSA boxes and online preorders
Breland Strawberry Farm - Walterboro Market,farm_u_pick,U-Pick,"strawberries, fresh fruits, u-pick strawberries","Walterboro, SC","1002 Bells Highway, Walterboro, SC 29488",,,843-549-7560,http://www.brelandhillfarm.com/,,Mar–May,,"Fresh, seasonal",SCDA-listed strawberry farm and roadside market with U-pick during the spring season
D & S Plantation,farm,Farm,"leafy greens, kale, seasonal vegetables, pumpkins, vegetable plants","Hardeeville, SC","2590 South Okatie Highway, Hardeeville, SC 29927",,,843-384-0913,http://dsplantationllc.com,,Year-round,,By appointment,Hardeeville farm offering greens and seasonal vegetables alongside tours and agritourism activities
Ottawa Farms,farm_u_pick,U-Pick,"strawberries, blackberries, blueberries, Angus beef, u-pick produce","Bloomingdale, GA","702 Bloomingdale Road, Bloomingdale, GA 31302",,,912-748-3035,https://ottawafarms.com/,,Apr–Jul,Fall events,"Fresh, seasonal","Historic South Georgia working farm with berry picking, produce, and a general store"
Lowland Farms,CSA_program,CSA Program,"heirloom vegetables, flowers, eggs, CSA, pumpkins","Johns Island, SC","3702 River Road, Johns Island, SC 29455",,,843-714-3310,http://www.lowlandfarms.com,,Year-round,,"Fresh, seasonal",Sustainable family farm with CSA shares focused on heirloom vegetables flowers and eggs
Legare Farms,farm_u_pick,U-Pick,"vegetables, fruits, herbs, beef, heritage hogs, eggs, pumpkins, CSA","Johns Island, SC","2620 Hanscombe Point Road, Johns Island, SC 29455",,,843-559-0788,http://www.legarefarms.com,,Mar–Nov,Oct,"Fresh, seasonal",Historic Johns Island family farm with produce livestock rolling markets and seasonal agritourism
Kachina Farms,farm,Farm,"organic herbs, produce, restaurant supply","Rincon, GA",,32.294773,-81.235361,,,,Mar–Nov,Year-round,Fresh to order,USDA-certified organic grower serving restaurants co-ops and Lowcountry buyers within the regional driving radius.
Kerry’s Berries U-Pick,farm_u_pick,U-Pick,"blueberries, u-pick berries","Garnett, SC","2050 Pleasant Hill Rd, Garnett, SC 29922",32.606233,-81.245384,912-547-1464,,,May–Jul,,"Fresh, seasonal",Seasonal U-pick blueberry farm within the broader Beaufort sourcing radius.
Lowcountry Family Farms LLP,farm,Farm,"Black Angus beef, beef shares, cuts","Walterboro, SC","Walterboro, SC",32.905,-80.666,,,,Year-round,,"Pasture, batch",Walterboro-area beef producer focused on Black Angus beef shares and retail cuts.
Live Oak Beef,farm,Farm,"grass-fed beef, beef shares, cuts","Charleston / ACE Basin, SC","Charleston, SC",32.7765,-79.9311,,,,Year-round,,"Pasture, batch",Regional grass-fed and grass-finished beef producer tied to Charleston and ACE Basin-area pastureland.
Marsh Hen Mill,farm,Farm,"heirloom rice, heirloom grains","Edisto Island, SC","2995 Hwy 174, Edisto Island, SC 29438",32.479167,-80.334722,,,,Year-round,,Milled to order,Farm and mill producing heirloom Carolina rice and grains with strong Lowcountry foodways relevance.
Gullah Farmers Cooperative,farm,Farm,"coastal farmers, heritage crops, regional produce","Lowcountry, SC",,,,,,,Year-round,,Co-op sourcing,Regional cooperative and sourcing lead for small-scale coastal and Gullah-Geechee growers across the Lowcountry.
Lowcountry Fungi,farm,Mushroom Farm,"gourmet mushrooms, medicinal mushrooms, dried mushrooms, grow kits","Johns Island, SC","760 Bronson Road Unit 108, Johns Island, SC 29455",,,832-373-9600,https://www.lowcountryfungi.com,jonathan@lowcountryfungi.com,Year-round,,Fresh to order,Johns Island mushroom farm supplying Charleston chefs and weekly market shoppers with gourmet and functional mushrooms.
Raven Farms,farm,Mushroom Farm,"oyster mushrooms, enoki mushrooms, lion's mane mushrooms","Mount Pleasant, SC","1127 Old Course Lane, Mount Pleasant, SC 29466",,,808-214-8561,https://www.ravenfarms.net,nathan@ravenfarms.net,Year-round,,Fresh to order,Chef-owned gourmet mushroom farm serving Charleston restaurants and local food buyers.
Fry Farms,farm,"Microgreens Farm, CSA Program","microgreens, dried fruit, fruit vinegars, specialty herbs, flowers, CSA","Johns Island, SC","2024 Academy Road, Johns Island, SC 29455",,,843-367-6283,https://www.fryfarms.org,kenfryfarms@gmail.com,Year-round,,Fresh to order,Johns Island grower focused on sustainable microgreens and specialty products for direct customers and market shoppers.
The Micro Greens Farm,farm,Microgreens Farm,"microgreens, wheatgrass, local delivery","Johns Island, SC","7 Oaks, Johns Island, SC 29455",,,843-212-6932,https://themicrogreensfarm.com,Derick@TheMicroGreensFarm.com,Year-round,,Fresh to order,Container-grown Charleston microgreens farm supplying local restaurants markets and subscription deliveries year-round.
