Name,Tags,Products,Location,Best Season,Secondary Season,Availability,Forageability,Compliance,Notes
Sea Lettuce,"forageable plant, marine plant, seaweed","Ulva seaweed","Clean tidal creeks, oyster beds, private leases",Mar-Oct,,Conditional,Easy,"Check water-quality closures, shellfish areas, private property, and harvest rules",High-yield gateway seaweed for salads tempura powders and ferments; safest path is through approved private leases or aquaculture partners.
Gracilaria,"forageable plant, marine plant, seaweed","ogo, gracilaria, agar seaweed","Clean estuarine areas and aquaculture-adjacent sites",Oct-Apr,Year-round,Conditional,Moderate,"Check water-quality closures, shellfish areas, private property, and harvest rules",Useful for broths gels and fresh crunch; confirm species identification and legal harvest location.
Wakame,"forageable plant, marine plant, seaweed","wakame, Undaria","Dock lines, pilings, ropes",Jan-Apr,,Seasonal,Moderate,"Confirm species and site permissions; avoid contaminated marina water",Cold-season dock and rope seaweed lead; better treated as a research/acquisition target than casual public harvest.
Sea Grapes,"marine plant, seaweed","Caulerpa, sea grapes","Tank culture or controlled aquaculture",Year-round,,Tank-grown,Not wild-first,"Avoid wild collection without expert ID and permissions",Best acquired through tank culture or specialty growers; high chef value as a briny garnish.
Glasswort / Sea Beans,"forageable plant, marine plant","Salicornia, sea beans, glasswort","Salt marsh edges and private marsh access",Apr-Aug,Sep,Conditional,Easy,"Confirm public-land rules, private property, and marsh harvest restrictions",One of the strongest Lowcountry forage crops for fresh crunch pickles and sauteing.
Sea Purslane,"forageable plant, marine plant","sea purslane","Salt marsh edges and sandy coastal margins",Apr-Oct,,Conditional,Moderate,"Confirm access and avoid protected dunes or sensitive habitat",Succulent saline green; harvest lightly and only where access is legal.
Marsh Elder,"forageable plant, marine plant","marsh elder leaves","Salt marsh margins",Jun-Oct,,Conditional,Moderate,"Confirm access; use positive ID",Aromatic marsh plant with potential for teas seasoning and coastal pantry experiments.
Muscadine Grapes,"forageable plant, fruit","muscadines","Fence lines, woodland edges, private land with permission",Aug-Sep,,Seasonal,Easy,"Get permission on private land; avoid roadside contamination",Abundant late-summer fruit for eating sauces ferments and preserves.
Chickweed,"forageable plant, wild greens","chickweed","Lawns, gardens, disturbed cool-season ground",Dec-Apr,,Seasonal,Easy,"Avoid sprayed areas; verify ID",Mild winter-spring green for salads pesto and soups.
Plantain,"forageable plant, wild greens","broadleaf plantain, narrowleaf plantain","Lawns, paths, disturbed ground",Year-round,,Year-round,Easy,"Avoid sprayed areas and roadsides",Common edible green with practical culinary and herbal uses.
Wild Onion / Garlic,"forageable plant, wild greens","wild alliums","Lawns, fields, woodland edges",Jan-Apr,,Seasonal,Moderate,"Must smell like onion or garlic; avoid lookalikes",Scallion-style wild green for late winter and spring cooking.
Smilax Tips,"forageable plant, wild greens","greenbrier shoots","Woodland edges and thickets",Mar-May,,Seasonal,Easy,"Harvest tender new growth only",Asparagus-like spring shoots; high return and easy to recognize once learned.
Pokeweed,"forageable plant, wild greens","poke sallet, young poke shoots","Disturbed edges and fields",Mar-May,,Seasonal,Expert only,"Young leaves only and must be properly boiled; toxic if mishandled",Traditional Southern green but not beginner-friendly because mature plant parts and improper prep are dangerous.
Lamb's Quarters,"forageable plant, wild greens","wild spinach","Gardens, fields, disturbed soil",Apr-Jul,,Seasonal,Moderate,"Avoid sprayed areas; confirm ID",Useful cooked green similar to spinach.
Amaranth,"forageable plant, wild greens","pigweed, amaranth greens","Gardens, fields, disturbed soil",Jun-Sep,,Seasonal,Moderate,"Avoid sprayed areas; confirm ID",Summer green and seed crop; good heat-season forage.
Wood Sorrel,"forageable plant, wild greens","wood sorrel","Lawns, gardens, shaded edges",Year-round,,Year-round,Easy,"Use moderately due to oxalic acid",Bright lemony garnish and salad accent.
Chanterelles,"fungi","chanterelle mushrooms","Oak and pine forests after rain",May-Sep,,Seasonal,Expert only,"Never eat wild mushrooms without expert confirmation",High-value summer mushroom; ID discipline matters.
Chicken of the Woods,"fungi","chicken of the woods mushroom","Hardwood trunks and deadwood",Jun-Nov,,Seasonal,Expert only,"Never eat wild mushrooms without expert confirmation; cook thoroughly",Meaty mushroom useful as a seasonal protein-like ingredient.
Oyster Mushrooms,"fungi","oyster mushrooms","Dead hardwood and fallen logs",Oct-Apr,,Seasonal,Expert only,"Never eat wild mushrooms without expert confirmation",Cool-season mushroom that can be common after wet weather.
Beautyberries,"forageable plant, fruit","beautyberries","Woodland edges and yards",Sep-Nov,,Seasonal,Easy,"Get permission; best cooked or processed",Useful for jellies syrups and ferments.
Prickly Pear,"forageable plant, fruit","Opuntia fruit, cactus pads","Sandy sunny sites",Jul-Sep,May-Jun,Seasonal,Moderate,"Handle spines and glochids carefully; confirm access",Edible fruit and pads with coastal-sandy habitat fit.
