Store,Scope,Source Type,Source URL,Price Strength,Notes
Walmart,Beaufort County,official_product_pages,https://www.walmart.com/cp/grocery/976759,strong,"Public product pages expose exact item prices, but final price can still vary by store and pickup context."
Food Lion,Beaufort County,official_product_pages,https://togo.foodlion.com/store/food-lion,strong,"Food Lion To Go pages expose exact item prices for many staples and are the strongest fresh-food source after Walmart."
Harris Teeter,Beaufort County,official_product_pages,https://www.harristeeter.com,strong,"Many Harris Teeter product pages expose exact prices, especially for eggs, bread, butter, meat, and poultry."
Publix,Beaufort County,official_product_pages,https://www.publix.com,weak,"Official product pages are public, but exact item prices are often hidden until a store context or session is set."
Dollar General,Beaufort County,official_store_pages,https://www.dollargeneral.com,weak,"Fresh food coverage is limited and public item-level pricing is inconsistent."
Piggly Wiggly,Beaufort County,official_store_pages,https://www.pigglywiggly.com,weak,"Public item-level price access appears thin compared with the larger chains."
Captain Harry's Select Seafood,Charleston supplier shed,official_shop_page,https://www.seafoodchs.com,strong,"Public shop page exposes current item prices for seafood and adjacent products, including fresh shrimp when available."
Lowcountry Oyster Company,Charleston / regional shipping,official_shop_page,https://lowcooysters.com/collections/fresh-shellfish,strong,"Public shellfish collection exposes oyster pack prices for pickup and shipped orders."
Anson Mills,Regional grain supplier,official_product_pages,https://ansonmills.com/products,strong,"Retail product pages expose extensive price and package-size data, including 10 lb formats useful for chef-facing comparisons."
Carolina Plantation Rice,South Carolina rice supplier,official_store_pages,https://www.carolinaplantationrice.com/store/,strong,"Public store pages expose prices for rice, grits, corn meal, rice flour, cowpeas, and related products."
Marsh Hen Mill,Edisto Island grain mill,official_shop_page,https://marshhenmill.com/,strong,"Public shop exposes prices for rice, grits, cornmeal, bundles, and pantry products."
Whippoorwill Farms SC,Ridgeland farm,official_subscription_page,https://whippoorwillfarmssc.com/thebox/,medium,"Public subscription page exposes monthly farm box tiers; individual product prices still need preorder-source follow-up."
Lowcountry Fungi,Johns Island mushroom farm,official_shop_page,https://www.lowcountryfungi.com/shop,medium,"Public shop exposes prices for dried mushrooms and supplements; fresh chef/market pricing may still require direct collection."
Fry Farms,Johns Island microgreens farm,official_shop_page,https://www.fryfarms.org/shop-products,medium,"Public shop exposes microgreen item prices suitable for initial tracking."
